cust,ma_fem_dv,ages,zon_hlv,grade
M000034966,0,2,7,General
M000136117,0,1,11,MVG-Ace
M000201112,0,3,17,General
M000225114,0,2,17,General
M000261625,0,2,17,VIP
M000350564,0,4,10,VIP+
M000419293,0,2,17,General
M000494848,0,1,10,MVG-Ace
M000504230,0,1,5,General
M000508243,0,3,17,General
M000555652,1,3,10,General
M000557840,1,1,11,General
M000621637,0,2,11,VIP+
M000658311,0,0,16,General
M000705571,0,2,17,General
M000713279,0,3,12,General
M000803099,0,3,3,General
M000859319,1,5,17,General
M000871427,0,0,10,General
M000986912,0,1,10,General
M001080017,0,1,17,General
M001086020,1,3,17,General
M001231653,0,4,17,General
M001248380,0,1,10,General
M001332751,0,1,6,General
M001353506,0,2,14,General
M001403108,1,0,10,General
M001405587,1,1,10,General
M001437402,1,3,6,General
M001444118,1,1,17,VIP+
M001464035,0,1,1,General
M001521411,0,2,4,General
M001626218,1,2,10,General
M001639664,0,2,9,General
M001640580,1,1,9,General
M001676416,0,1,15,General
M001694463,1,2,14,VIP
M001697471,1,2,17,General
M001697472,1,3,16,VIP
M001698984,0,3,10,General
M001714196,0,2,17,VIP
M001719436,0,2,10,General
M001729158,0,2,3,General
M001796054,0,3,8,General
M001808316,1,1,17,VIP
M001826589,0,2,9,General
M001871581,1,3,17,General
M001932188,0,1,4,General
M001964634,1,2,12,General
M001996055,0,4,11,General
M002009440,0,1,16,General
M002102710,0,1,12,General
M002122238,0,0,7,General
M002181288,1,4,11,General
M002186187,1,2,4,General
M002188008,1,0,17,General
M002238144,0,0,16,General
M002352655,1,0,17,VIP
M002476170,1,3,17,MVG-Ace
M002516882,0,1,17,VIP
M002631028,1,2,11,General
M002712183,1,1,10,General
M002867247,0,2,10,General
M002867841,1,2,16,General
M002900547,1,2,10,General
M002944916,1,3,10,General
M002968688,1,2,17,General
M003005564,0,0,17,General
M003178578,1,4,17,General
M003213142,0,4,14,General
M003230318,0,1,10,General
M003281441,0,2,10,General
M003342315,1,3,17,General
M003411495,0,3,16,General
M003423693,1,1,4,General
M003427143,1,2,10,General
M003468477,0,1,17,General
M003490042,0,0,10,General
M003512783,0,4,5,General
M003528940,1,3,17,General
M003531710,0,1,17,MVG-Ace
M003563148,0,2,9,General
M003574741,1,2,17,General
M003641896,0,3,10,VIP+
M003673750,1,3,13,General
M003765725,0,2,10,General
M003803545,0,2,16,VIP
M003827618,1,2,13,General
M003834772,0,2,17,General
M003842970,0,1,8,VIP
M003847817,0,1,10,General
M003872277,1,3,16,General
M003918629,0,2,10,General
M003948947,0,1,17,MVG-Ace
M003972434,0,1,10,General
M003978013,0,2,10,General
M004056262,0,1,10,General
M004292419,1,3,17,VIP
M004338856,0,3,17,VIP
M004368674,0,2,10,General
M004382321,0,0,10,General
M004430311,1,2,17,General
M004434460,1,1,10,General
M004452072,0,1,6,General
M004494018,1,1,10,General
M004540352,0,0,10,General
M004587507,0,1,16,VIP
M004593982,0,0,16,VIP+
M004595449,0,2,17,General
M004599697,1,2,15,General
M004601295,0,3,15,General
M004610895,1,2,17,General
M004701344,0,0,10,General
M004725109,0,2,17,VIP
M004743281,0,2,5,VIP+
M004831050,1,2,12,General
M004839058,1,2,13,VIP
M004843031,0,0,17,General
M004843133,1,1,10,General
M004916501,0,2,8,General
M004998385,1,1,10,General
M005071497,0,1,10,General
M005113779,1,3,10,General
M005113806,0,3,17,General
M005190060,0,1,9,General
M005209297,0,3,17,General
M005233669,0,0,5,General
M005297673,0,2,10,General
M005317556,1,1,17,General
M005360407,0,2,10,General
M005392126,1,2,17,General
M005448564,0,1,4,VIP
M005462100,0,4,14,General
M005484498,0,4,11,VIP+
M005515605,1,2,10,General
M005539469,1,2,17,General
M005565524,1,2,8,General
M005646515,1,2,11,General
M005665716,1,2,16,General
M005701809,0,2,10,General
M005714647,1,1,11,General
M005731374,1,0,5,General
M005756325,0,4,10,General
M005802062,0,0,12,General
M005930833,0,3,16,VIP+
M005931829,0,1,10,General
M005951417,0,1,10,General
M005978086,1,2,17,General
M006026730,0,0,17,General
M006060731,0,4,7,VIP
M006101185,0,1,16,General
M006103201,0,3,13,VIP
M006114154,1,2,10,General
M006155904,0,3,10,General
M006156170,1,3,5,General
M006189359,0,1,11,General
M006201429,0,2,10,General
M006216667,0,3,6,VIP
M006260135,0,4,1,General
M006272431,1,3,11,MVG-Ace
M006276409,0,1,17,VIP+
M006333495,0,4,11,General
M006338386,0,2,10,General
M006358338,1,0,4,General
M006407679,0,3,17,MVG-Ace
M006422356,0,2,13,General
M006429452,0,2,10,VIP
M006453588,1,1,13,General
M006466671,0,3,8,General
M006627098,0,1,17,VIP
M006658403,0,1,16,VIP
M006679751,0,0,4,General
M006703537,0,2,17,VIP+
M006704643,0,1,16,General
M006712731,1,2,17,General
M006725113,0,4,16,General
M006727302,0,4,10,General
M006728866,1,2,10,General
M006775596,0,1,17,General
M006826436,0,2,16,VIP
M006865239,0,0,6,General
M006902585,0,2,10,General
M006904172,0,0,16,VIP+
M006947340,0,4,16,General
M006962764,1,1,17,General
M006976766,0,3,9,General
M006985653,1,0,10,General
M006994878,1,3,13,General
M006997862,0,1,17,VIP+
M007005601,1,1,10,General
M007196501,0,2,13,VIP
M007207067,1,3,12,General
M007229712,0,1,10,General
M007319872,0,3,12,VIP+
M007349628,1,3,10,General
M007354680,0,3,17,General
M007463920,1,2,8,General
M007486580,0,0,16,General
M007486863,0,2,17,General
M007490836,1,1,10,General
M007523105,0,4,10,General
M007569854,0,2,9,General
M007710522,0,1,10,VIP
M007711011,0,4,11,General
M007745030,0,1,10,General
M007808106,1,1,8,General
M007808151,1,1,10,General
M007909147,0,2,17,General
M008076951,1,2,10,General
M008123058,1,3,9,General
M008146645,0,2,16,General
M008254198,0,4,10,General
M008269534,0,2,13,VIP+
M008280181,0,2,10,General
M008396737,0,2,12,VIP
M008453799,1,3,14,VIP+
M008454401,0,1,10,General
M008527766,1,1,17,VIP
M008539255,0,3,5,General
M008574645,0,3,5,General
M008579659,1,1,17,General
M008598245,0,3,17,General
M008722896,1,1,10,General
M008787005,1,2,13,General
M008809647,1,2,10,VIP
M008858450,0,1,10,General
M008864908,1,1,4,General
M008923069,0,3,10,General
M008935564,0,0,4,General
M008960015,1,3,1,General
M008962563,0,3,17,General
M009032626,1,0,16,General
M009037939,0,2,11,General
M009092385,0,5,11,General
M009092500,0,2,9,General
M009102336,0,2,10,General
M009109982,0,4,17,VIP+
M009120822,0,3,11,VIP+
M009183049,0,4,4,General
M009206232,0,0,4,VIP
M009233630,1,3,7,General
M009278577,1,1,12,General
M009298760,0,2,10,General
M009326002,0,2,10,General
M009331919,0,2,1,General
M009390126,0,3,10,VIP
M009406532,0,3,8,General
M009432696,1,2,4,General
M009432951,1,3,11,General
M009475811,0,1,17,VIP
M009491102,1,2,17,General
M009541134,1,1,10,General
