,cust,grade
0,M000034966,General
1,M000059535,General
2,M000136117,MVG
3,M000201112,General
4,M000225114,General
5,M000261625,VIP
6,M000350564,VIP
7,M000419293,General
8,M000494848,MVG
9,M000504230,General
10,M000508243,General
11,M000555652,General
12,M000557840,General
13,M000608261,General
14,M000621637,VIP
15,M000658311,General
16,M000705571,General
17,M000713279,General
18,M000803099,General
19,M000859319,General
20,M000871427,General
21,M000965026,General
22,M000986912,General
23,M001080017,General
24,M001086020,General
25,M001225335,General
26,M001231653,General
27,M001248380,General
28,M001332751,General
29,M001353506,General
30,M001403108,General
31,M001405587,General
32,M001437402,General
33,M001444118,VIP
34,M001464035,General
35,M001521411,General
36,M001626218,General
37,M001639664,General
38,M001640580,General
39,M001676416,General
40,M001694463,VIP
41,M001697471,General
42,M001697472,VIP
43,M001698984,General
44,M001714196,VIP
45,M001719436,General
46,M001729158,General
47,M001796054,General
48,M001808316,VIP
49,M001826589,General
50,M001871581,General
51,M001932188,General
52,M001964634,General
53,M001996055,General
54,M002009440,VIP
55,M002102710,General
56,M002122238,General
57,M002181288,General
58,M002186187,General
59,M002188008,General
60,M002238144,General
61,M002352655,VIP
62,M002476170,MVG
63,M002516882,VIP
64,M002631028,General
65,M002644538,General
66,M002712183,General
67,M002867247,General
68,M002867841,General
69,M002900547,General
70,M002944916,General
71,M002968688,General
72,M003005564,General
73,M003178578,General
74,M003213142,General
75,M003230318,General
76,M003281441,General
77,M003342315,General
78,M003411495,General
79,M003423693,General
80,M003427143,General
81,M003468477,General
82,M003490042,General
83,M003512783,General
84,M003528940,General
85,M003531710,MVG
86,M003563148,General
87,M003574741,General
88,M003596896,General
89,M003641896,VIP
90,M003673750,General
91,M003729845,General
92,M003765725,General
93,M003803545,VIP
94,M003827618,General
95,M003834772,General
96,M003842970,VIP
97,M003847817,General
98,M003872277,General
99,M003918629,General
100,M003948947,MVG
101,M003972434,General
102,M003978013,General
103,M004056262,General
104,M004292419,VIP
105,M004312179,General
106,M004338856,VIP
107,M004368674,General
108,M004382321,General
109,M004430311,General
110,M004434460,General
111,M004452072,General
112,M004494018,General
113,M004540352,General
114,M004587507,VIP
115,M004593982,VIP
116,M004595449,General
117,M004599697,General
118,M004601295,General
119,M004610895,General
120,M004701344,General
121,M004725109,VIP
122,M004743281,VIP
123,M004831050,General
124,M004839058,VIP
125,M004843031,General
126,M004843133,General
127,M004880812,General
128,M004916501,General
129,M004932643,General
130,M004998385,General
131,M005071497,General
132,M005113779,General
133,M005113806,General
134,M005190060,General
135,M005209297,General
136,M005233669,General
137,M005297673,General
138,M005317556,General
139,M005360407,General
140,M005392126,General
141,M005448564,VIP
142,M005462100,General
143,M005468429,General
144,M005484498,VIP
145,M005515605,General
146,M005539469,General
147,M005565524,General
148,M005646515,General
149,M005665716,General
150,M005701809,General
151,M005714647,General
152,M005731374,General
153,M005756325,General
154,M005802062,General
155,M005930833,VIP
156,M005931829,General
157,M005951417,General
158,M005978086,General
159,M006026730,General
160,M006051160,General
161,M006060731,VIP
162,M006101185,General
163,M006103201,VIP
164,M006114154,General
165,M006155904,General
166,M006156170,General
167,M006178896,General
168,M006189359,General
169,M006201429,General
170,M006216667,VIP
171,M006260135,General
172,M006272431,MVG
173,M006276409,VIP
174,M006333495,General
175,M006338386,General
176,M006358338,General
177,M006407679,MVG
178,M006422356,General
179,M006429452,VIP
180,M006453588,General
181,M006466671,General
182,M006627098,VIP
183,M006658403,VIP
184,M006679751,General
185,M006703537,VIP
186,M006704643,General
187,M006712731,General
188,M006725113,General
189,M006727302,General
190,M006728866,General
191,M006775596,General
192,M006826436,VIP
193,M006865239,General
194,M006902585,General
195,M006904172,VIP
196,M006947340,General
197,M006962764,General
198,M006976766,General
199,M006985653,General
200,M006994878,General
201,M006997862,VIP
202,M007005601,General
203,M007196501,VIP
204,M007207067,General
205,M007229712,General
206,M007319872,VIP
207,M007349628,General
208,M007354680,General
209,M007463920,General
210,M007486580,General
211,M007486863,General
212,M007490836,General
213,M007523105,General
214,M007569854,General
215,M007710522,VIP
216,M007711011,General
217,M007745030,General
218,M007808106,General
219,M007808151,General
220,M007909147,General
221,M007979353,General
222,M008076951,General
223,M008123058,General
224,M008146645,General
225,M008229734,General
226,M008254198,General
227,M008269534,VIP
228,M008280181,General
229,M008395377,General
230,M008396737,VIP
231,M008398484,General
232,M008453799,VIP
233,M008454401,General
234,M008527766,VIP
235,M008539255,General
236,M008574645,General
237,M008579659,General
238,M008598245,General
239,M008722896,General
240,M008787005,General
241,M008809647,VIP
242,M008858450,General
243,M008864908,General
244,M008923069,General
245,M008935564,General
246,M008960015,General
247,M008960183,General
248,M008962563,General
249,M008998759,General
250,M009032626,General
251,M009037939,General
252,M009092385,General
253,M009092500,General
254,M009102336,General
255,M009109982,VIP
256,M009120822,VIP
257,M009183049,General
258,M009206232,VIP
259,M009233630,General
260,M009278577,General
261,M009298760,General
262,M009326002,General
263,M009331919,General
264,M009390126,VIP
265,M009406532,General
266,M009432696,General
267,M009432951,General
268,M009475811,VIP
269,M009491102,General
270,M009491860,General
271,M009541134,General
272,M009664307,General
273,M009682567,General
274,M009723110,General
275,M009729859,General
276,M009731870,VIP
277,M009742223,General
278,M009754131,General
279,M009847637,General
280,M009962161,VIP
281,M009979598,General
282,M009983001,General
283,M010031285,General
284,M010034420,General
285,M010037014,VIP
286,M010043769,General
287,M010049359,General
288,M010053498,General
289,M010063401,General
290,M010068705,General
291,M010080814,General
292,M010089323,General
293,M010141777,General
294,M010224238,General
295,M010259055,General
296,M010288392,General
297,M010327569,General
298,M010337779,General
299,M010353493,General
300,M010379936,General
301,M010423314,General
302,M010430064,General
303,M010578364,General
304,M010595795,General
305,M010597817,General
306,M010618874,General
307,M010674880,General
308,M010685450,General
309,M010722296,General
310,M010760292,VIP
311,M010805061,General
312,M010913491,General
313,M010965707,General
314,M010967394,General
315,M010994337,General
316,M011057762,General
317,M011062562,General
318,M011166824,General
319,M011187683,VIP
320,M011200568,General
321,M011212887,General
322,M011220106,General
323,M011262591,VIP
324,M011283774,General
325,M011329470,General
326,M011436425,General
327,M011493552,General
328,M011495510,General
329,M011501123,General
330,M011501995,General
331,M011527521,MVG
332,M011543777,General
333,M011663757,General
334,M011685716,General
335,M011690584,General
336,M011706752,General
337,M011808737,General
338,M011829462,General
339,M011908877,General
340,M011946286,General
341,M011970152,General
342,M012027846,General
343,M012046118,General
344,M012085309,General
345,M012096174,General
346,M012121265,General
347,M012197943,General
348,M012216253,General
349,M012229902,General
350,M012263812,General
351,M012265036,General
352,M012312404,General
353,M012342829,General
354,M012346404,General
355,M012350286,General
356,M012391977,General
357,M012438441,General
358,M012576040,General
359,M012619532,General
360,M012620244,General
361,M012642797,General
362,M012673791,VIP
363,M012732690,VIP
364,M012758819,General
365,M012767779,VIP
366,M012778138,VIP
367,M012800908,General
368,M012833776,General
369,M012846338,General
370,M012857373,General
371,M012936022,VIP
372,M012955173,General
373,M013069595,General
374,M013090322,General
375,M013124981,General
376,M013178107,General
377,M013218691,General
378,M013256049,General
379,M013276696,VIP
380,M013285074,VIP
381,M013366941,General
382,M013398724,General
383,M013414665,VIP
384,M013587825,General
385,M013639641,General
386,M013664739,General
387,M013684099,General
388,M013700307,General
389,M013769296,General
390,M013796485,General
391,M013839762,General
392,M013849448,General
393,M013922952,VIP
394,M013938777,General
395,M013962648,General
396,M013993404,General
397,M014008347,VIP
398,M014035745,General
399,M014070401,General
400,M014075207,General
401,M014090492,General
402,M014154595,General
403,M014182354,General
404,M014275222,VIP
405,M014292351,General
406,M014293224,General
407,M014321937,VIP
408,M014339861,VIP
409,M014340605,General
410,M014382968,General
411,M014383657,General
412,M014386417,General
413,M014405668,General
414,M014429367,General
415,M014467656,VIP
416,M014498295,General
417,M014565673,General
418,M014583713,VIP
419,M014591324,General
420,M014601678,VIP
421,M014747239,VIP
422,M014747434,General
423,M014792007,General
424,M014826415,General
425,M014836999,General
426,M014888741,General
427,M014905326,General
428,M014906758,General
429,M014972107,General
